fighter,division,style,slpm,td,win,height,fights_in_UFC,fighter_image,age,country,record
Sergio Pettis,Flyweight,Striker,3.6,0.91,0.81,168,12,sergio-pettis.jpg,25,USA,17-4-0
Joseph Benavidez,Flyweight,Hybrid,3.44,1.26,0.84,163,15,benavidez.jpg,34,USA,25-5-0
Ray Borg,Flyweight,Wrestler,1.31,2.91,0.79,163,8,borg.jpg,25,USA,11-3-0
Deiveson Figueiredo,Flyweight,Striker,2.25,2.46,1,165,4,figueredo.jpg,30,Brazil,15-0-0
John Moraga,Flyweight,Wrestler,2.57,0.62,0.73,168,14,moraga.jpg,34,USA,19-7-0
Wilson Reis,Flyweight,Hybrid,1.82,4.94,0.7,163,11,reis.jpg,33,Brazil,22-9-0
Alexandre Pantoja,Flyweight,Striker,4.42,0.78,0.86,165,4,pantoja.jpg,28,Brazil,19-3-0
Brandon Moreno,Flyweight,Striker,2.65,2.71,0.73,170,5,moreno.jpg,24,Mexico,14-5-0
Georges St-Pierre,Middleweight,Wrestler,3.78,4.16,0.93,179,22,saint-pierre.jpg,37,Canada,26-2-0
Anderson Silva,Middleweight,Striker,3.1,0.55,188,0.8,22,silva.jpg,43,Brazil,34-8-0 (1 NC)
Brock Lesnar,Heavyweight,Wrestler,3.53,3.9,0.56,191,8,lesnar.jpg,41,USA,5-3-0 (1 NC)
Jim Miller,Lightweight,Striker,2.79,1.7,0.7,173,30,miller.jpg,35,USA,29-12-0 (1 NC)
Donald Cerrone,Welterweight,Striker,4.12,1.3,0.73,183,28,cerrone.jpg,35,USA,33-11-0 (1 NC)
